мне девятнадцать лет .	i m .
ты всё портишь .	you re ruining everything .
испугался, да ?	you re scared, aren t you ?
ты так хорошо поешь .	you re so good at singing .
вы стоите на моём пути .	you re standing in my way .
ты стоишь на моём пути .	you re standing in my way .
ты опять лжёшь .	you re telling lies again .
ты то мне и нужен .	you re the one i need now .
вы то мне и нужны .	you re the one i need now .
ты выпил слишком много, чтобы вести .	you re too drunk to drive .
ты слишком пьян, чтобы вести машину .	you re too drunk to drive .
ты для этого слишком мал .	you re too young for that .
вы для этого слишком малы .	you re too young for that .
ты для этого слишком молод .	you re too young for that .
вы для этого слишком молоды .	you re too young for that .
ты испытываешь моё терпение .	you re trying my patience .
вы испытываете моё терпение .	you re trying my patience .
ты в два раза старше меня .	you re twice as old as me .
вы в два раза старше меня .	you re twice as old as me .
ты вдвое старше меня .	you re twice as old as me .
вы вдвое старше меня .	you re twice as old as me .
ты очень рассеянный .	you re very absent minded .
вы очень рассеянный .	you re very absent minded .
ты очень рассеянная .	you re very absent minded .
вы очень рассеянная .	you re very absent minded .
вы очень рассеянные .	you re very absent minded .
ты очень рассеян .	you re very absent minded .
ты очень рассеяна .	you re very absent minded .
вы очень рассеяны .	you re very absent minded .
ты очень материалистичен .	you re very materialistic .
вы очень материалистичны .	you re very materialistic .
ты очень материалистична .	you re very materialistic .
ты очень старомоден .	you re very old fashioned .
вы очень старомодны .	you re very old fashioned .
ты очень старомодна .	you re very old fashioned .
ты весьма умудрённый .	you re very sophisticated .
ты очень понимающий .	you re very understanding .
ты очень непредсказуем .	you re very unpredictable .
вы очень непредсказуемы .	you re very unpredictable .
ты очень непредсказуема .	you re very unpredictable .
ты в моей пижаме .	you re wearing my pajamas .
в данном случае ты ошибаешься .	you re wrong in this case .
в данном случае вы ошибаетесь .	you re wrong in this case .
он заядлый игрок .	he is a compulsive gambler .
он хороший корреспондент .	he is a good correspondent .
он мне хороший муж .	he is a good husband to me .
он хороший теннисист .	he is a good tennis player .
он подкаблучник .	he is a hen pecked husband .
он мастер на все руки .	he is a jack of all trades .
ему сегодня немного получше .	he is a shade better today .
он учитель английского .	he is a teacher of english .
он преподаватель английского .	he is a teacher of english .
он студент университета .	he is a university student .
он быстро плавает .	he is able to swim quickly .
он поглощен работой .	he is absorbed in his work .
он боится своего отца .	he is afraid of his father .
он всегда полон идей .	he is always full of ideas .
он агрессивный человек .	he is an aggressive person .
он, как обычно, разговорчив .	he is as talkative as ever .
в целом он неплохой человек .	he is basically a nice man .
он чем то занят .	he is busy doing something .
он способен на предательство .	he is capable of treachery .
он без ума от бейсбола .	he is crazy about baseball .
он помешан на бейсболе .	he is crazy about baseball .
он хорошо учится в школе .	he is doing fine in school .
ему не терпится поехать в китай .	he is eager to go to china .
он нанялся на ферму .	he is employed on the farm .
его наняли на ферму .	he is employed on the farm .
он помолвлен с моей сестрой .	he is engaged to my sister .
он далеко не счастлив .	he is far from being happy .
он идет на концерт .	he is going to the concert .
он идёт на концерт .	he is going to the concert .
ему не терпится тебя увидеть .	he is impatient to see you .
он стоит перед дверью .	he is in front of the door .
он перед дверью .	he is in front of the door .
он в расцвете лет .	he is in the prime of life .
он намного лучше тебя .	he is much better than you .
он гораздо лучше тебя .	he is much better than you .
он не такой толстый, как раньше .	he is not as fat as he was .
он не виновен в убийстве .	he is not guilty of murder .
он не так силён, как раньше .	he is not strong as before .
сейчас он живет в париже .	he is now staying in paris .
он один из моих соседей .	he is one of my neighbours .
он пользуется любовью его людей .	he is popular with his men .
говорят, что он очень беден .	he is said to be very poor .
он сидит со скрещенными ногами .	he is sitting cross legged .
он сидит на стуле .	he is sitting on the chair .
он стоит на холме .	he is standing on the hill .
он всё ещё полон энергии .	he is still full of energy .
он изучает сельское хозяйство .	he is studying agriculture .
он говорит по телефону .	he is talking on the phone .
он старший из них двоих .	he is the older of the two .
он вдвое старше меня .	he is twice as old as i am .
он очень опасный мужчина .	he is very a dangerous man .
он очень опасный человек .	he is very a dangerous man .
учитель он так себе .	he isn t much of a teacher .
он не очень силён в математике .	he isn t very good at math .
он старшеклассник .	he s a high school student .
он человек множества талантов .	he s a man of many talents .
это человек, на которого ты можешь положиться .	he s a man you can rely on .
он умный парнишка .	he s a smart little feller .
он учитель, и я тоже .	he s a teacher and so am i .
он очень эгоистичный человек .	he s a very selfish person .
он очень странный человек .	he s a very strange person .
он всемирно знаменитый писатель .	he s a world famous writer .
он пристрастился к вредной еде .	he s addicted to junk food .
он постоянно на тебя смотрит .	he s always looking at you .
он всегда читает комиксы .	he s always reading comics .
ему постоянно не хватает денег .	he s always short of money .
он определенно не придет .	he s definitely not coming .
он не такой, как раньше .	he s different from before .
он жаждет поговорить с вами .	he s eager to speak to you .
он горит желанием с вами поговорить .	he s eager to speak to you .
он умеет рассказывать анекдоты .	he s good at telling jokes .
он здорово рассказывает анекдоты .	he s good at telling jokes .
он сейчас студент колледжа .	he s now a college student .
он теперь студент .	he s now a college student .
он идеален во всём .	he s perfect at everything .
он совершенен во всём .	he s perfect at everything .
он гордится тем, что он художник .	he s proud to be an artist .
он скорее богатый, чем бедный .	he s rich rather than poor .
он где то в парке .	he s somewhere in the park .
он пятый в очереди .	he s the fifth man in line .
он тот, кто помог мне .	he s the one who helped me .
это он мне помог .	he s the one who helped me .
он смотрит олимпиаду .	he s watching the olympics .
он пишет длинное письмо .	he s writing a long letter .
боюсь, что это отказ .	i am afraid it is a reject .
по натуре я оптимист .	i am an optimist by nature .
я каждый вечер дома .	i am at home every evening .
я решил купить новый зонтик .	i am buying a new umbrella .
я категорически против этого .	i am completely against it .
я ему глубоко обязан .	i am deeply in debt to him .
мне восемьдесят пять лет .	i am eighty five years old .
я рад слышать эти известия .	i am glad to hear the news .
я рада слышать эти известия .	i am glad to hear the news .
я рад слышать эти новости .	i am glad to hear the news .
я рада слышать эти новости .	i am glad to hear the news .
я рад видеть вас здесь .	i am happy to see you here .
у меня нет настроения шутить .	i am in no mood for joking .
меня пригласили на эту вечеринку .	i am invited to this party .
я всего лишь простой учитель .	i am just a humble teacher .
я как раз иду гулять .	i am just going for a walk .
я по воскресеньям никогда не бываю свободна .	i am never free on sundays .
я не имею к этому отношения .	i am not concerned with it .
я недоволен своей работой .	i am not happy with my job .
я не привык к тяжёлой работе .	i am not used to hard work .
я не приучен к тяжёлому труду .	i am not used to hard work .
у меня часто бывают затруднения .	i am often in difficulties .
сейчас я играю на пианино .	i am playing the piano now .
меня уже тошнит от него .	i am sick and tired of him .
я курю кубинскую сигару .	i am smoking a cuban cigar .
я начинаю этим вечером .	i am starting this evening .
я гощу у друга .	i am staying with a friend .
я устал это слышать .	i am tired of hearing that .
я устала это слышать .	i am tired of hearing that .
у меня работы по горло .	i am up to my neck in work .
я очень счастлив в грузии .	i am very happy in georgia .
я очень счастлив в джорджии .	i am very happy in georgia .
я жду моего водителя .	i am waiting for my driver .
я жду своего водителя .	i am waiting for my driver .
у меня чёрный пояс по карате .	i m a black belt in karate .
я гражданин мира .	i m a citizen of the world .
я намного тяжелее тебя .	i m a lot heavier than you .
я медицинский технолог .	i m a medical technologist .
я и сам не местный .	i m a stranger here myself .
я очень, очень счастливый человек .	i m a very, very happy man .
боюсь, что не могу это сделать .	i m afraid i can t do that .
боюсь, я простыл .	i m afraid i caught a cold .
боюсь, у меня плохие новости .	i m afraid i have bad news .
я боюсь диких животных .	i m afraid of wild animals .
я боюсь диких зверей .	i m afraid of wild animals .
я уже вернулся в бостон .	i m already back in boston .
я тоже сажусь на этот поезд .	i m also taking this train .
я всегда занята по понедельникам .	i m always busy on mondays .
я всегда занят по понедельникам .	i m always busy on mondays .
мне не терпится начать .	i m anxious to get started .
я спрашиваю тебя как друг .	i m asking you as a friend .
я тебя как друга прошу .	i m asking you as a friend .
я в курсе случившегося .	i m aware of what happened .
я в курсе произошедшего .	i m aware of what happened .
я не умею хранить секреты .	i m bad at keeping secrets .
я плохо пою караоке .	i m bad at singing karaoke .
я начинаю уставать .	i m beginning to get tired .
я начинаю терять надежду .	i m beginning to lose hope .
я начинаю жалеть об этом .	i m beginning to regret it .
мне платят за то, что я вам помогаю .	i m being paid to help you .
я кормлю своего ребёнка из бутылочки .	i m bottle feeding my baby .
я кормлю ребёнка из бутылочки .	i m bottle feeding my baby .
я кормлю своего ребёнка грудью .	i m breast feeding my baby .
я убеждён, что мы можем это сделать .	i m convinced we can do it .
я исправляю свои ошибки .	i m correcting my mistakes .
я считаю оставшиеся дни .	i m counting down the days .
я определённо схожу с ума .	i m definitely going crazy .
я рассчитываю на твою помощь .	i m depending on your help .
я рассчитываю на вашу помощь .	i m depending on your help .
я разочарован и зол .	i m disappointed and angry .
я делаю всё, что могу .	i m doing everything i can .
я делаю это ради денег .	i m doing it for the money .
я делаю это, чтобы тебе помочь .	i m doing this to help you .
я делаю это, чтобы вам помочь .	i m doing this to help you .
умираю от желания что нибудь съесть .	i m dying to eat something .
я уже чувствую себя лучше .	i m feeling better already .
я со всеми дружу .	i m friends with everybody .
я готовлюсь к отъезду .	i m getting ready to leave .
я рад, что тебя послушал .	i m glad i listened to you .
я рад, что вас послушал .	i m glad i listened to you .
я рад, что ты можешь прийти .	i m glad that you can come .
я рад, что ты сможешь прийти .	i m glad that you can come .
я рад, что вы сможете прийти .	i m glad that you can come .
я рад, что мы этого не сделали .	i m glad we didn t do that .
я рада, что мы этого не сделали .	i m glad we didn t do that .
я рад, что мы съездили в бостон .	i m glad we visited boston .
я рад, что мы поехали в бостон .	i m glad we went to boston .
я рад, что ты со мной согласен .	i m glad you agree with me .
я рад, что ты смог к нам присоединиться .	i m glad you could join us .
я рад, что вы смогли к нам присоединиться .	i m glad you could join us .
я рад, что ты меня подождал .	i m glad you waited for me .
я рад, что вы меня подождали .	i m glad you waited for me .
я рада, что у тебя всё хорошо .	i m glad you re doing well .
я рад, что ты сегодня здесь .	i m glad you re here today .
я рад, что вы сегодня здесь .	i m glad you re here today .
я рад, что ты все еще здесь .	i m glad you re still here .
я рад, что вы всё ещё здесь .	i m glad you re still here .
я тебе перезвоню .	i m going to call you back .
я собираюсь снова это сделать .	i m going to do that again .
я это сам починю .	i m going to fix it myself .
я пойду за мороженым .	i m going to get ice cream .
я схожу за мороженым .	i m going to get ice cream .
попытаюсь .	i m going to give it a try .
я собираюсь идти немедленно .	i m going to go right away .
я собираюсь пойти вздремнуть .	i m going to go take a nap .
я собираюсь записаться в армию .	i m going to join the army .
я собираюсь в армию .	i m going to join the army .
я пойду в армию .	i m going to join the army .
я собираюсь запереть дверь .	i m going to lock the door .
я сейчас запру дверь .	i m going to lock the door .
мне будет очень этого не хватать .	i m going to miss it a lot .
я буду очень по этому скучать .	i m going to miss it a lot .
я тоже буду скучать по тебе .	i m going to miss you, too .
мне понадобится губка .	i m going to need a sponge .
я собираюсь открыть вино .	i m going to open the wine .
я собираюсь прочесть эту книгу .	i m going to read the book .
я увижусь с вами позже .	i m going to see you later .
я собираюсь продать свой дом .	i m going to sell my house .
я собираюсь остаться с тобой .	i m going to stay with you .
я собираюсь остаться с вами .	i m going to stay with you .
я побуду с тобой .	i m going to stay with you .
я побуду с вами .	i m going to stay with you .
я собираюсь изучать биологию .	i m going to study biology .
я приму душ .	i m going to take a shower .
я собираюсь устроить вечеринку .	i m going to throw a party .
я кое что попробую .	i m going to try something .
на этот раз я выиграю .	i m going to win this time .
я благодарен тебе за помощь .	i m grateful for your help .
я благодарен вам за помощь .	i m grateful for your help .
рад снова вас видеть .	i m happy to see you again .
я доволен тем, что имею .	i m happy with what i have .
я чудесно провожу время .	i m having an awesome time .
я пришёл заявить о преступлении .	i m here to report a crime .
надеюсь, этого не случится .	i m hoping it won t happen .
я надеюсь, ты можешь мне помочь .	i m hoping you can help me .
я сейчас в гонконге .	i m in hong kong right now .
я тороплюсь попасть домой .	i m in a hurry to get home .
я расследую убийство .	i m investigating a murder .
я просто звоню, чтобы сказать привет .	i m just calling to say hi .
я просто рад, что смог помочь .	i m just glad i could help .
я просто пытаюсь выжить .	i m just trying to survive .
я уезжаю утром .	i m leaving in the morning .
я слушаю радио .	i m listening to the radio .
я сейчас живу с моей мамой .	i m living with my mom now .
сейчас я живу с мамой .	i m living with my mom now .
я живу с родителями .	i m living with my parents .
я смотрю на тот цветок .	i m looking at that flower .
я ищу одного старика .	i m looking for an old man .
я ищу своего брата .	i m looking for my brother .
у меня никогда не получится .	i m never going to make it .
я никогда не опаздываю на встречи .	i m never late to meetings .
я на тебя больше не сержусь .	i m no longer angry at you .
я на тебя уже не сержусь .	i m no longer angry at you .
я на вас больше не сержусь .	i m no longer angry at you .
я на вас уже не сержусь .	i m no longer angry at you .
я больше не холостяк .	i m not a bachelor anymore .
я не эксперт в области финансов .	i m not a financial expert .
я не очень хорошо пою .	i m not a very good singer .
певец из меня неважный .	i m not a very good singer .
я не боюсь ничего .	i m not afraid of anything .
я ничего не боюсь .	i m not afraid of anything .
я твоей собаки не боюсь .	i m not afraid of your dog .
я не боюсь вашей собаки .	i m not afraid of your dog .
я не так уж и удивлён .	i m not all that surprised .
я не так богат, как ты .	i m not as rich as you are .
я не такой богатый, как ты .	i m not as rich as you are .
я не так богат, как вы .	i m not as rich as you are .
я не такой богатый, как вы .	i m not as rich as you are .
я этим больше не занимаюсь .	i m not doing this anymore .
я недостаточно опытен .	i m not experienced enough .
сегодня я не очень хорошо себя чувствую .	i m not feeling well today .
я не из богатой семьи .	i m not from a rich family .
в подробности не вдаюсь .	i m not going into details .
не буду вдаваться в подробности .	i m not going into details .
я не собираюсь извиняться .	i m not going to apologize .
я не буду извиняться .	i m not going to apologize .
я не собираюсь просить дважды .	i m not going to ask again .
я не собираюсь этого отрицать .	i m not going to deny that .
сегодня я не умру .	i m not going to die today .
я не исчезну .	i m not going to disappear .
я не собираюсь с тобой драться .	i m not going to fight you .
я не собираюсь тебя осуждать .	i m not going to judge you .
я не собираюсь здесь жить .	i m not going to live here .
я не собираюсь выходить за тебя замуж .	i m not going to marry you .
я не собираюсь выходить за вас замуж .	i m not going to marry you .
я не собираюсь на тебе жениться .	i m not going to marry you .
я не собираюсь на вас жениться .	i m not going to marry you .
я не собираюсь это открывать .	i m not going to open this .
я не буду это подписывать .	i m not going to sign this .
я не собираюсь это подписывать .	i m not going to sign this .
я в этом не силён .	i m not good at doing that .
у меня это не очень хорошо получается .	i m not good at doing that .
я не умею хорошо притворяться .	i m not good at pretending .
я плохо притворяюсь .	i m not good at pretending .
мне это не интересно .	i m not interested in that .
я не ахти какой механик .	i m not much of a mechanic .
не спортсмен я .	i m not much of an athlete .
спортсмен из меня тот ещё .	i m not much of an athlete .
не уверен, что верю тебе .	i m not sure i believe you .
не уверен, что это того стоит .	i m not sure it s worth it .
я точно не знаю, что произошло .	i m not sure what happened .
я точно не знаю, что это значит .	i m not sure what it means .
я не знаю точно, что это значит .	i m not sure what it means .
я не совсем тебя понимаю .	i m not sure what you mean .
я не совсем вас понимаю .	i m not sure what you mean .
я не об этом .	i m not talking about that .
я говорю не об этом .	i m not talking about that .
я не буду об этом говорить .	i m not talking about that .
я еще не настолько отчаялся .	i m not that desperate yet .
я не пытаюсь быть смешным .	i m not trying to be funny .
я не привык к острой пище .	i m not used to spicy food .
я не очень силён в шахматах .	i m not very good at chess .
я тоже не очень счастлив .	i m not very happy, either .
я никого не жду .	i m not waiting for anyone .
я не та, за кого вы меня принимаете .	i m not who you think i am .
я не тот, за кого вы меня принимаете .	i m not who you think i am .
я не та, за кого ты меня принимаешь .	i m not who you think i am .
я не тот, за кого ты меня принимаешь .	i m not who you think i am .
я за них не беспокоюсь .	i m not worried about them .
я в данный момент занят .	i m occupied at the moment .
я официально в отпуске .	i m officially on vacation .
я в хороших отношениях с ним .	i m on good terms with him .
я по пути на встречу .	i m on my way to a meeting .
я всего в трёх кварталах .	i m only three blocks away .
я чрезвычайно рад помочь .	i m only too happy to help .
я родом из бостона .	i m originally from boston .
я собрался и готов идти .	i m packed and ready to go .
я готов к худшему .	i m prepared for the worst .
я в этом почти уверен .	i m pretty certain of that .
я горжусь тем, что я канадец .	i m proud to be a canadian .
я горжусь тем, что я канадка .	i m proud to be a canadian .
я очень рад, что сделал это .	i m really glad i did that .
я очень рад, что я это сделал .	i m really glad i did that .
я очень рад это слышать .	i m really glad to hear it .
я очень рад тебя видеть .	i m really glad to see you .
я очень рад, что ты позвонил .	i m really glad you called .
я вам очень благодарен .	i m really grateful to you .
я очень зол на вас, парни .	i m really mad at you guys .
прямо сейчас я очень устал .	i m really tired right now .
я коплю деньги на машину .	i m saving money for a car .
я боюсь диких животных .	i m scared of wild animals .
я редко опаздываю в школу .	i m seldom late for school .
я сыт этим по горло .	i m sick and tired of this .
я очень рад, что ты остаешься .	i m so glad you re staying .
я так счастлив, что уехал из бостона .	i m so happy i left boston .
я сожалею о вашей утрате .	i m so sorry for your loss .
прости, что не могу тебе помочь .	i m sorry i can t help you .
простите, что не могу вам помочь .	i m sorry i can t help you .
прошу прощения, что вышел из себя .	i m sorry i lost my temper .
прости, что заставил тебя волноваться .	i m sorry i made you worry .
простите, что заставил вас волноваться .	i m sorry i made you worry .
простите за опоздание .	i m sorry about being late .
извините за опоздание .	i m sorry about being late .
прости меня за всё .	i m sorry about everything .
сожалею о прошлой ночи .	i m sorry about last night .
я сожалею о своей ошибке .	i m sorry about my mistake .
извините, что перебиваю .	i m sorry to interrupt you .
мне очень жаль, я не могу этого сделать .	i m sorry, i can t do that .
мне очень жаль, я не могу этого сделать .	i m sorry, i can t do this .
я начинаю испытывать голод .	i m starting to get hungry .
я всё ещё влюблена в него .	i m still in love with him .
я всё ещё люблю тебя .	i m still in love with you .
я всё ещё влюблён в тебя .	i m still in love with you .
я всё ещё живу в бостоне .	i m still living in boston .
я так и живу в бостоне .	i m still living in boston .
мне до сих пор иногда одиноко .	i m still lonely sometimes .
я застряла в пробке .	i m stuck in a traffic jam .
я уверен, что я что то слышал .	i m sure i heard something .
я уверена, что закрыла дверь .	i m sure i locked the door .
я уверен, что закрыл дверь .	i m sure i locked the door .
я уверен, что он рано уйдёт .	i m sure he ll leave early .
я уверена, что он рано уйдёт .	i m sure he ll leave early .
я уверен, что он умён .	i m sure that he is clever .
я уверена, что он умный .	i m sure that he is clever .
уверен, что будет весело .	i m sure that it ll be fun .
я уверен, что этого не будет .	i m sure that won t happen .
я уверен, что этого не случится .	i m sure that won t happen .
я уверен, что этого не произойдёт .	i m sure that won t happen .
я уверен, что ты можешь лучше .	i m sure you can do better .
я уверен, что вы можете лучше .	i m sure you can do better .
уверен, ты сделал всё, что мог .	i m sure you did your best .
я уверен, ты найдешь способ .	i m sure you ll find a way .
я уверен, что ты поймешь .	i m sure you ll understand .
уверен, ты довольно занят .	i m sure you re quite busy .
я забираю у тебя телефон .	i m taking away your phone .
я беру мою книгу с собой .	i m taking my book with me .
я беру свою книгу с собой .	i m taking my book with me .
я благодарен своей семье .	i m thankful for my family .
я здесь самый старший .	i m the oldest person here .
это мне нужна помощь .	i m the one who needs help .
я владелец этой земли .	i m the owner of this land .
теперь я чемпион мира .	i m the world champion now .
я подумываю о том, чтобы это сделать .	i m thinking of doing that .
я устал быть осторожным .	i m tired of being careful .
я устала быть осторожной .	i m tired of being careful .
я устал играть в игры .	i m tired of playing games .
я устала играть в игры .	i m tired of playing games .
мне надоело играть в игры .	i m tired of playing games .
мне надоели твои комментарии .	i m tired of your comments .
мне надоели ваши комментарии .	i m tired of your comments .
я перевожу статью .	i m translating an article .
я стараюсь тебя подбодрить .	i m trying to cheer you up .
я пытаюсь тебя подбодрить .	i m trying to cheer you up .
я стараюсь вас подбодрить .	i m trying to cheer you up .
я пытаюсь вас подбодрить .	i m trying to cheer you up .
я пытаюсь себе это представить .	i m trying to imagine that .
я пытаюсь выучить французский язык .	i m trying to learn french .
я пытаюсь выучить французский .	i m trying to learn french .
я стараюсь не принимать это близко к сердцу .	i m trying to take it easy .
мне очень повезло, что я жив .	i m very lucky to be alive .
я очень беспокоюсь за тебя .	i m very worried about you .
я жду твоего ответа .	i m waiting for your reply .
я смотрю документальный фильм .	i m watching a documentary .
я очень хорошо осознаю риск .	i m well aware of the risk .
я прекрасно осознаю риск .	i m well aware of the risk .
я работаю в макдоналдсе .	i m working for mcdonald s .
я работаю над этой проблемой .	i m working on the problem .
я беспокоюсь за ребёнка .	i m worried about the baby .
я беспокоюсь за малыша .	i m worried about the baby .
я беспокоюсь за детей .	i m worried about the kids .
я моложе, чем ты думаешь .	i m younger than you think .
я моложе, чем вы думаете .	i m younger than you think .
она очень хороший учитель .	she is a very good teacher .
она хорошо узнаваемая певица .	she is a well known singer .
она примерно такого же роста, что и я .	she is about as tall as me .
она примерно моего роста .	she is about as tall as me .
она примерно того же роста, что и я .	she is about as tall as me .
она жаждет встретиться с тобой .	she is anxious to meet you .
она жаждет встречи с тобой .	she is anxious to meet you .
в данный момент она в церкви .	she is at church right now .
она способна на всё .	she is capable of anything .
она сейчас в опасности .	she is currently in danger .
она одета во всё лучшее .	she is dressed in her best .
ей запрещено выходить из дома .	she is forbidden to go out .
у неё очень хорошее настроение .	she is in a very good mood .
она в очень хорошем настроении .	she is in a very good mood .
она слегла с лихорадкой .	she is in bed with a fever .
она интересуется музыкой .	she is interested in music .
она врёт про свой возраст .	she is lying about her age .
она гораздо выше меня .	she is much taller than me .
она не обычная студентка .	she is no ordinary student .
она всего лишь ребёнок .	she is nothing but a child .
она сейчас старше и мудрее .	she is older and wiser now .
она ужасно готовит .	she is terrible at cooking .
она не боится змей .	she isn t afraid of snakes .
она сказала, что её зовут мэри .	she said her name was mary .
она представилась как мэри .	she said her name was mary .
она пела лучше, чем обычно .	she sang better than usual .
она видела его на станции .	she saw him at the station .
она видела, как я входил в магазин .	she saw me enter the store .
она видела, как я входил в лавку .	she saw me enter the store .
она говорит, что ей нравятся цветы .	she says she likes flowers .
она говорит, что счастлива .	she says that she is happy .
она говорит, что одинока .	she says that she s lonely .
она послала ему длинное письмо .	she sent him a long letter .
она выстрелила в него из пистолета .	she shot him with a pistol .
она застрелила его из пистолета .	she shot him with a pistol .
ей следует помочь матери .	she should help her mother .
она медленно закрыла глаза .	she slowly closed her eyes .
она говорила со мной по испански .	she spoke to me in spanish .
она говорила со мной на испанском .	she spoke to me in spanish .
она разговаривала со мной по испански .	she spoke to me in spanish .
она осталась здесь одна .	she stayed here by herself .
она вдруг стала знаменитой .	she suddenly became famous .
ей самое большее двадцать .	she s at most years old .
ей не больше двадцати .	she s at most years old .
красивая, правда ?	she s beautiful, isn t she ?
она красивая, правда ?	she s beautiful, isn t she ?
у неё будет ребёнок .	she s going to have a baby .
у неё сегодня хорошее настроение .	she s in a good mood today .
она любима друзьями .	she s loved by her friends .
она замужем за дантистом .	she s married to a dentist .
она никогда не влюблялась .	she s never fallen in love .
она не такая высокая, как он .	she s not as tall as he is .
она сидит на скамейке .	she s sitting on the bench .
я ей совсем не ровня .	she s way out of my league .
они живут на подаяние .	they are living on charity .
они среднего роста .	they are of average height .
о них хорошо заботятся .	they are well looked after .
они все старше тебя .	they re all older than you .
они все старше вас .	they re all older than you .
они все старше вас .	they re all older than you .
они такие же уставшие, как и мы .	they re as tired as we are .
они брат и сестра .	they re brother and sister .
они чистят пляж .	they re cleaning the beach .
они, вероятно, американцы .	they re probably americans .
они всё ещё следуют за нами .	they re still following us .
они замечательная семья .	they re the perfect family .
они пытаются нас напугать .	they re trying to scare us .
они очень близкие друзья .	they re very close friends .
мы все серьёзной опасности .	we are all in grave danger .
мы уверены в его успехе .	we are sure of his success .
мы прибыли первыми .	we are the first to arrive .
мы гуляем в парке .	we are walking in the park .
мы ходим по кругу .	we aren t getting anywhere .
мы собираемся ужинать .	we re about to have dinner .
мы все в одной лодке .	we re all in the same boat .
мы все на одной стороне .	we re all on the same side .
мы все в одной команде .	we re all on the same team .
мы все молимся о дожде .	we re all praying for rain .
мы здесь почти закончили .	we re almost finished here .
мы уже добрые друзья .	we re already good friends .
мы задаём вопросы .	we re asking the questions .
мы в курсе этой проблемы .	we re aware of the problem .
мы начинаем понимать почему .	we re beginning to see why .
мы лучше, чем они .	we re better than they are .
мы лучше них .	we re better than they are .
мы забронировали билеты на рейс триста восемь .	we re booked on flight .
мы оба учителя французского .	we re both french teachers .
теперь мы оба намного старше .	we re both a lot older now .
мы оба здесь очень счастливы .	we re both very happy here .
мы обе здесь очень счастливы .	we re both very happy here .
мы покупаем билеты в кино .	we re buying movie tickets .
если они нас найдут, то нам крышка .	we re dead if they find us .
мы возвращаемся в бостон .	we re going back to boston .
в данный момент мы идём домой .	we re going home right now .
мы будем вместе .	we re going to be together .
мы собираемся это изменить .	we re going to change that .
мы приложим все наши усилия .	we re going to do our best .
мы найдём лекарство .	we re going to find a cure .
мы это закончим .	we re going to finish this .
мы это доделаем .	we re going to finish this .
мы собираемся пожениться .	we re going to get married .
у нас будет ребёнок .	we re going to have a baby .
нам понадобится кредит .	we re going to need a loan .
нам понадобится заём .	we re going to need a loan .
нам понадобится ссуда .	we re going to need a loan .
мы тебя защитим .	we re going to protect you .
у нас тут проблемы .	we re having problems here .
мы движемся к катастрофе .	we re heading for disaster .
мы только начинаем .	we re just getting started .
мы ищем адвоката .	we re looking for a lawyer .
мы созданы друг для друга .	we re meant for each other .
мы созданы друг для друга .	we re meant to be together .
мы никогда не оставляем надежду .	we re never giving up hope .
мы не собираемся сдаваться .	we re not about to give up .
мы никого не боимся .	we re not afraid of anyone .
мы ещё не закончили играть .	we re not done playing yet .
мы ещё даже не женаты .	we re not even married yet .
мы не местные .	we re not from around here .
мы не будем этого делать .	we re not going to do that .
мы не собираемся это делать .	we re not going to do that .
мы не собираемся сдаваться .	we re not going to give up .
у нас не получится .	we re not going to make it .
мы здесь не для того, чтобы веселиться .	we re not here to have fun .
мы сюда не веселиться пришли .	we re not here to have fun .
мы не в одной команде .	we re not on the same team .
мы не готовы это сделать .	we re not ready to do that .
мы больше не вместе .	we re not together anymore .
мы на пути в бостон .	we re on our way to boston .
мы практически братья .	we re practically brothers .
у нас заканчиваются идеи .	we re running out of ideas .
у нас кончаются деньги .	we re running out of money .
у нас вода кончается .	we re running out of water .
мы относимся к этому скептически .	we re skeptical about this .
мы окружены полицией .	we re surrounded by police .
мы пытаемся тебя спасти .	we re trying to rescue you .
у нас новое руководство .	we re under new management .
мы ждем обслуживания .	we re waiting to be served .
мы сейчас смотрим фильм .	we re watching a movie now .
